UTD;ZONA;TURMA;CARTEIRA;DATA_PEDIDO;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DIA_SEMANA;FLAG_DEF
BARREIRAS;20;STC;CORTE;2022-08-25;21;21;0;5;N
JACOBINA;263;EPS;CORTE;2022-08-05;9;0;9;6;N
JUAZEIRO;288;STC;RECORTE;2022-08-24;1;1;0;4;N
VITORIA DA CONQUISTA;515;STC;CORTE;2022-08-19;11;11;0;6;N
PIRAJA;355;EPS;CORTE;2022-08-19;42;41;1;6;N
ITAPOAN;252;EPS;DISJUNTOR;2022-08-16;20;20;0;3;N
ILHEUS;180;STC;CORTE;2022-08-09;21;21;0;3;N
LAURO DE FREITAS;294;STC;RECORTE;2022-08-03;16;16;0;4;N
PORTO SEGURO;371;EPS;BAIXA;2022-08-05;12;11;1;6;N
BARREIRAS;15;EPS;CORTE;2022-08-22;7;7;0;2;N
ITAPOAN;254;EPS;RECORTE;2022-08-10;28;26;2;4;N
PAULO AFONSO;328;STC;RECORTE;2022-08-15;11;10;1;2;N
BOM JESUS DA LAPA;28;EPS;CORTE;2022-08-04;7;7;0;5;N
SANTO ANTONIO DE JESUS;426;STC;RECORTE;2022-08-02;16;15;1;3;N
SERRINHA;465;STC;CORTE;2022-08-19;9;9;0;6;N
REMANSO;393;EPS;CORTE;2022-08-23;66;65;1;3;N
PORTO SEGURO;376;EPS;CORTE;2022-08-18;20;19;1;5;N
VALENCA;490;EPS;DISJUNTOR;2022-08-12;32;32;0;6;S
SENHOR DO BONFIM;452;STC;CORTE;2022-08-16;10;10;0;3;N
VALENCA;487;EPS;CORTE;2022-08-18;7;7;0;5;N
JUAZEIRO;284;STC;RECORTE;2022-08-23;16;15;1;3;N
VITORIA DA CONQUISTA;509;EPS;BAIXA;2022-08-04;20;1;19;5;N
PAULO AFONSO;341;EPS;RECORTE;2022-08-17;18;17;1;4;N
TEIXEIRA DE FREITAS;484;EPS;CORTE;2022-08-17;10;10;0;4;N
IRECE;210;EPS;CORTE;2022-08-11;13;13;0;5;N
GUANAMBI;138;STC;CORTE;2022-08-23;18;17;1;3;N
IBOTIRAMA;171;STC;CORTE;2022-08-11;9;9;0;5;N
LIVRAMENTO DE NOSSA SENHORA;303;STC;RECORTE;2022-08-17;5;5;0;4;N
GUANAMBI;138;EPS;CORTE;2022-08-09;6;6;0;3;N
CAMACARI;55;STC;RECORTE;2022-08-15;16;16;0;2;N
IBOTIRAMA;170;EPS;CORTE;2022-08-09;5;5;0;3;N
CAMACARI;50;STC;CORTE;2022-08-25;16;15;1;5;N
SANTA MARIA DA VITORIA;415;EPS;CORTE;2022-08-08;7;7;0;2;N
IPIAU;188;EPS;CORTE;2022-08-09;8;6;2;3;N
TEIXEIRA DE FREITAS;485;EPS;CORTE;2022-08-05;13;0;13;6;N
ALAGOINHAS;4;EPS;CORTE;2022-08-15;20;19;1;2;N
FEIRA DE SANTANA NORTE;107;EPS;CORTE;2022-08-19;35;33;2;6;N
ITAPETINGA;241;STC;CORTE;2022-08-15;9;9;0;2;N
VITORIA DA CONQUISTA;503;EPS;CORTE;2022-08-03;11;11;0;4;N
JUAZEIRO;291;STC;CORTE;2022-08-12;9;9;0;6;N
SANTO AMARO;422;EPS;CORTE;2022-08-15;22;21;1;2;N
GRACA;131;EPS;CORTE;2022-08-16;21;21;0;3;N
SANTO ANTONIO DE JESUS;435;EPS;RECORTE;2022-08-03;8;7;1;4;N
PITUBA;357;EPS;CORTE;2022-08-16;19;19;0;3;N
SANTA MARIA DA VITORIA;412;STC;CORTE;2022-08-09;11;11;0;3;N
SENHOR DO BONFIM;448;STC;CORTE;2022-08-15;13;12;1;2;N
IRECE;207;STC;CORTE;2022-08-12;11;11;0;6;N
PORTO SEGURO;373;STC;CORTE;2022-08-19;21;21;0;6;N
SANTO ANTONIO DE JESUS;8;STC;CORTE;2022-08-15;13;13;0;2;N
BOM JESUS DA LAPA;23;EPS;CORTE;2022-08-15;10;10;0;2;N
RIBEIRA DO POMBAL;400;EPS;CORTE;2022-08-12;10;10;0;6;N
GRACA;132;EPS;CORTE;2022-08-04;11;10;1;5;N
FEIRA DE SANTANA SUL;121;EPS;CORTE;2022-08-12;16;13;3;6;N
IRECE;205;EPS;CORTE;2022-08-22;8;8;0;2;N
ITABUNA;225;EPS;CORTE;2022-08-09;18;18;0;3;N
VALENCA;498;STC;CORTE;2022-08-23;21;21;0;3;N
ESPLANADA;79;EPS;BAIXA;2022-08-11;18;11;7;5;N
ITAPOAN;254;EPS;BAIXA;2022-08-10;2;1;1;4;N
ITAPETINGA;245;STC;RECORTE;2022-08-17;13;11;2;4;N
IRECE;211;STC;RECORTE;2022-08-12;15;8;7;6;S
GUANAMBI;148;EPS;CORTE;2022-08-12;7;7;0;6;N
EUNAPOLIS;88;EPS;DISJUNTOR;2022-08-12;5;4;1;6;N
GUANAMBI;138;STC;RECORTE;2022-08-24;15;15;0;4;N
TEIXEIRA DE FREITAS;471;STC;RECORTE;2022-08-16;17;17;0;3;N
ITAPOAN;251;STC;RECORTE;2022-08-09;12;4;8;3;S
ITABUNA;230;STC;RECORTE;2022-08-11;18;4;14;5;S
RIBEIRA DO POMBAL;399;EPS;CORTE;2022-08-24;9;8;1;4;N
LUIS EDUARDO MAGALHAES;322;EPS;CORTE;2022-08-11;7;7;0;5;N
FEIRA DE SANTANA SUL;123;STC;CORTE;2022-08-02;1;1;0;3;N
BOM JESUS DA LAPA;27;EPS;RECORTE;2022-08-17;1;1;0;4;N
SANTO AMARO;424;STC;CORTE;2022-08-05;9;0;9;6;N
LUIS EDUARDO MAGALHAES;317;EPS;CORTE;2022-08-22;7;7;0;2;N
BRUMADO;48;STC;CORTE;2022-08-22;11;11;0;2;N
CAMACARI;50;STC;CORTE;2022-08-02;16;16;0;3;N
JEQUIE;275;STC;CORTE;2022-08-02;11;11;0;3;N
BARREIRAS;16;EPS;BAIXA;2022-08-11;10;10;0;5;N
VITORIA DA CONQUISTA;499;STC;CORTE;2022-08-16;11;11;0;3;N
VITORIA DA CONQUISTA;500;STC;CORTE;2022-08-04;11;11;0;5;N
PITUBA;357;EPS;RECORTE;2022-08-17;26;25;1;4;N
VITORIA DA CONQUISTA;503;EPS;RECORTE;2022-08-04;16;15;1;5;N
SANTO ANTONIO DE JESUS;428;STC;CORTE;2022-08-02;19;18;1;3;N
