ZONA;TURMA;CARTEIRA;TOTAL_ESPERADO_MAPA;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DEFASAGEM_MAPA;DEFASAGEM_PROGRAMACAO;QTD_TURMAS;QTD_NOTAS;JUSTIFICATIVA;QTD_SUSCETIVEIS;VALOR_COBRAVEL;PECLD;TICKET_COBRAVEL;TICKET_PECLD
0521;EPS;RECORTE;16,0;16,0;5,0;11,0;0,0;;;;;447,0;301206,62;110296,730391197;673,8403131991051;246,7488375641991
0522;STC;CORTE;11,0;11,0;11,0;0,0;0,0;;;;;22,0;17755,480000000003;3973,833524937;807,0672727272729;180,62879658804545
0526;EPS;CORTE;7,0;6,0;0,0;6,0;1,0;;;;;142,0;159569,25;60312,760117163;1123,7271126760563;424,7377473039648
0530;EPS;CORTE;7,0;7,0;0,0;7,0;0,0;;;;;42,0;57439,04;13194,336860731;1367,5961904761905;314,1508776364524
0531;EPS;CORTE;7,0;7,0;0,0;7,0;0,0;;;;;257,0;454586,37000000005;180898,916028875;1768,8185603112843;703,886832797179
0532;STC;CORTE;13,0;13,0;13,0;0,0;0,0;;;;;38,0;40060,04;13670,616922263;1054,2115789473685;359,7530769016579
0532;EPS;CORTE;7,0;7,0;0,0;7,0;0,0;;;;;38,0;40060,04;13670,616922263;1054,2115789473685;359,7530769016579
0534;EPS;RECORTE;8,0;8,0;4,0;4,0;0,0;;;;;104,0;80751,19;200358,351169924;776,45375;1926,5226074031154
0535;EPS;CORTE;2,0;2,0;0,0;2,0;0,0;;;;;2,0;3827,2200000000003;484,147513783;1913,6100000000001;242,0737568915
0536;EPS;CORTE;2,0;2,0;0,0;2,0;0,0;;;;;12,0;20977,850000000002;2118,481280366;1748,154166666667;176,54010669716666
0000;EPS;RECORTE;;23,0;15,0;8,0;;;;;;;;;;
0000;STC;CORTE;;48,0;47,0;1,0;;;;;;;;;;
0000;STC;CORTE;;33,0;29,0;4,0;;;;;;;;;;
0000;STC;CORTE;;9,0;5,0;4,0;;;;;;;;;;
0000;STC;CORTE;;7,0;3,0;4,0;;;;;;;;;;
0000;STC;CORTE;;4,0;1,0;3,0;;;;;;;;;;
0000;STC;CORTE;;4,0;3,0;1,0;;;;;;;;;;
11404;STC;CORTE;;13,0;8,0;5,0;;;;;;;;;;
10515;STC;CORTE;;20,0;14,0;6,0;;;;;;;;;;
11402;STC;CORTE;;10,0;8,0;2,0;;;;;;;;;;
11405;STC;CORTE;;6,0;6,0;0,0;;;;;;;;;;
11405;STC;CORTE;;1,0;1,0;0,0;;;;;;;;;;
11401;STC;CORTE;;10,0;6,0;4,0;;;;;;;;;;
11403;STC;CORTE;;15,0;8,0;7,0;;;;;;;;;;
10517;STC;CORTE;;4,0;1,0;3,0;;;;;;;;;;
10806;STC;CORTE;;17,0;13,0;4,0;;;;;;;;;;
12103;STC;CORTE;;2,0;1,0;1,0;;;;;;;;;;
12101;STC;CORTE;;2,0;0,0;2,0;;;;;;;;;;
10104;STC;CORTE;;8,0;2,0;6,0;;;;;;;;;;
10516;STC;CORTE;;8,0;7,0;1,0;;;;;;;;;;
11202;STC;CORTE;;2,0;1,0;1,0;;;;;;;;;;
12113;STC;CORTE;;2,0;1,0;1,0;;;;;;;;;;
10508;STC;CORTE;;1,0;1,0;0,0;;;;;;;;;;
06.0;STC;RECORTE;;;;;;18,0;1,0;18,0;Turma extra;;;;;
11.0;STC;RECORTE;;;;;;30,0;2,0;15,0;Turma extra;;;;;
22.0;STC;CORTE;;;;;;20,0;1,0;20,0;Turma extra;;;;;
138.0;STC;CORTE;;;;;;15,0;1,0;15,0;Complementar roteiro;;;;;
142.0;STC;CORTE;;;;;;25,0;1,0;25,0;Gavião - Colaborador sozinho;;;;;
152.0;STC;CORTE;;;;;;15,0;1,0;15,0;Complementar roteiro;;;;;
192.0;STC;CORTE;;;;;;18,0;1,0;18,0;Complementar roteiro;;;;;
194.0;STC;CORTE;;;;;;18,0;1,0;18,0;Complementar roteiro;;;;;
200.0;STC;RECORTE;;;;;;20,0;1,0;20,0;Complementar roteiro;;;;;
195.0;STC;CORTE;;;;;;15,0;1,0;15,0;Complementar roteiro;;;;;
202.0;STC;RECORTE;;;;;;18,0;1,0;18,0;Complementar roteiro;;;;;
205.0;STC;CORTE;;;;;;18,0;1,0;18,0;Complementar roteiro;;;;;
208.0;STC;RECORTE;;;;;;15,0;1,0;15,0;Complementar roteiro;;;;;
209.0;STC;RECORTE;;;;;;18,0;1,0;18,0;Complementar roteiro;;;;;
207.0;STC;RECORTE;;;;;;15,0;1,0;15,0;Complementar roteiro;;;;;
217.0;STC;CORTE;;;;;;30,0;1,0;30,0;Gavião - Colaborador sozinho;;;;;
305.0;STC;CORTE;;;;;;20,0;1,0;20,0;Turma extra;;;;;
378.0;STC;RECORTE;;;;;;15,0;1,0;15,0;-;;;;;
429.0;STC;CORTE;;;;;;15,0;1,0;15,0;Gavião - Colaborador sozinho;;;;;
432.0;STC;CORTE;;;;;;15,0;1,0;15,0;Não gerado na cadeia noturna;;;;;
497.0;STC;RECORTE;;;;;;20,0;1,0;20,0;Não gerado na cadeia noturna;;;;;
