UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
IBOTIRAMA;SIM;0162;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0166;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IBOTIRAMA;SIM;0170;;;;;1;7;6;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;0173;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;0174;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;0179;;;;;2;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;0183;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;0186;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
ILHEUS;SIM;0187;;;;;1;27;24;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IPIAU;SIM;0188;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IPIAU;SIM;0189;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IPIAU;SIM;0526;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IPIAU;SIM;0527;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IPIAU;SIM;0531;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IPIAU;SIM;0532;;;;;1;17;15;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0192;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0193;;;;;3;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0196;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0197;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0203;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0204;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0205;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0207;;;;;2;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0208;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0209;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0210;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
IRECE;SIM;0211;;;;;1;12;10;500;2500;500;CONVENCIONAL;EPS;1,0;2,0;0,0;;
