UTD;SELECIONAR;ZONA;LOCALI;MUNICIPIO;BAIRRO;TIPO_LOCAL;CLUSTERS;QTD_MAX;QTD_MIN;RAIO_IDEAL;RAIO_MAX;RAIO_STEP;CARTEIRA;TURMA;PESO_MTVCOB;PESO_PECLD;PESO_QTDFTVE;PREENCHER;QTD_PREENCHER
PAULO AFONSO;SIM;0346;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PIRAJA;SIM;0350;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PIRAJA;SIM;0352;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PIRAJA;SIM;0354;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PIRAJA;SIM;0355;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PITUBA;SIM;0356;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PITUBA;SIM;0357;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
PITUBA;SIM;0359;;;;;2;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
REMANSO;SIM;0392;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
REMANSO;SIM;0389;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
REMANSO;SIM;0391;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0397;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0404;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0406;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
RIBEIRA DO POMBAL;SIM;0410;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTA MARIA DA VITORIA;SIM;0535;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTA MARIA DA VITORIA;SIM;0412;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTA MARIA DA VITORIA;SIM;0418;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO AMARO;SIM;0419;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO AMARO;SIM;0424;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO AMARO;SIM;0421;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO AMARO;SIM;0422;;;;;2;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO ANTONIO DE JESUS;SIM;0009;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO ANTONIO DE JESUS;SIM;0431;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO ANTONIO DE JESUS;SIM;0426;;;;;1;13;11;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SANTO ANTONIO DE JESUS;SIM;0435;;;;;1;19;17;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SEABRA;SIM;0443;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SEABRA;SIM;0439;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SEABRA;SIM;0440;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SEABRA;SIM;0441;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SEABRA;SIM;0442;;;;;1;21;19;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0448;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0449;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0453;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0446;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0447;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0451;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
SENHOR DO BONFIM;SIM;0454;;;;;1;16;14;5000;9000;2000;CONVENCIONAL;STC;1,0;2,0;0,0;;
